review_id,formation_id,formation_label,slot,rank,rohm_player_id,rohm_player_name,rohm_category,current_player_id,current_player_name,current_person_id,candidate_ids
r199,81,ローマ 2000-01,9,17,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r200,81,ローマ 2000-01,9,25,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r201,81,ローマ 2000-01,10,25,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r202,81,ローマ 2000-01,10,27,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r203,83,ビジャレアル 2005-06,9,21,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r204,83,ビジャレアル 2005-06,9,30,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r205,84,バイエルン 2015-16,9,39,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r206,84,バイエルン 2015-16,9,59,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r207,85,ドルトムント 2015-16,9,7,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r208,85,ドルトムント 2015-16,9,20,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r209,86,ポルトガル 2016,8,24,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r210,86,ポルトガル 2016,8,36,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r211,87,ブラジル 2006,7,23,1549,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r212,87,ブラジル 2006,7,89,1152,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r213,87,ブラジル 2006,9,20,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r214,87,ブラジル 2006,9,21,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r215,87,ブラジル 2006,10,19,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r216,87,ブラジル 2006,10,37,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r217,87,ブラジル 2006,11,38,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r218,87,ブラジル 2006,11,43,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
